{c185dedd-05f2-409b-80e3-7ea8616ff38d} event:/cars/2tight_f812/backfire_ext
{23a356d5-4ddf-4fa7-bab0-e3020fe749dd} event:/cars/2tight_f812/backfire_int
{ea05bc34-98ea-4af7-bec9-7043d57c15bb} event:/cars/2tight_f812/bodywork
{2b8f34a3-6845-4941-ba66-0400775f2b96} event:/cars/2tight_f812/door
{37541c2d-9d38-418a-8e6c-9afd3fa184d1} event:/cars/2tight_f812/engine_ext
{52c539ff-d0e1-4a08-b84c-b12357f315c4} event:/cars/2tight_f812/engine_int
{385a777c-09d0-4f0e-ac35-7953cd862840} event:/cars/2tight_f812/gear_ext
{d3c821f0-fdb5-40a6-bb9c-c3bedd77739a} event:/cars/2tight_f812/gear_grind
{5a3d9713-7013-4de6-bcbd-a0bdbd9bcc79} event:/cars/2tight_f812/gear_int
{d9135271-16f3-4da2-8300-60b7f943aa6e} event:/cars/2tight_f812/horn
{f24ae6e3-653d-4e8e-bae8-029fe2c6c7db} event:/cars/2tight_f812/limiter
{3aaa1813-e2b5-4696-9fca-a20e388d4402} event:/cars/2tight_f812/skid_ext
{3d0dbc9b-3012-48bf-8b51-1242e4bfcf68} event:/cars/2tight_f812/skid_int
{fba81fa9-8158-4a12-adab-438d2cffa809} event:/cars/2tight_f812/tractioncontrol_ext
{76494a5c-2e58-443f-994f-3574dabdc93c} event:/cars/2tight_f812/tractioncontrol_int
{e05a0c18-431e-407b-b700-88c44e9613a4} event:/cars/2tight_f812/transmission
{6df62fd6-8bdc-40c4-97ff-730f9c79c4b2} event:/cars/2tight_f812/turbo
{2d25b35b-9faa-4843-8d5b-d9ef248779e2} event:/cars/2tight_f812/wheel
{14cc81b7-2435-415d-8c96-25b17757c2c8} event:/cars/2tight_f812/wind
{e7a0a53c-47d9-43bc-b7b8-e52d665bb16f} event:/collisions/car/hit
{30da2dc2-9c09-4556-8501-c6d54f63b689} event:/collisions/car/scrape
{68d68373-2ebb-41cc-9825-fa6dcc0027c2} event:/collisions/object/hit
{4bd6b486-ac12-483a-8e9e-4f587f8ec27f} event:/collisions/track/hit
{e7c31cb2-ac8d-4a2a-abc0-855cf9dff82e} event:/collisions/track/scrape
{4cc7ac44-8aaf-4473-91ea-aeca681ab958} event:/common/ambience
{d1f12277-fe8f-4106-9fb2-3de595d54a1c} event:/common/dirt
{f5666b9c-c659-459c-85bd-0eff6e92f7eb} event:/common/screw
{deae65e4-a5a7-4810-8adb-277fe4a96aa3} event:/common/unscrew
{f12c4de3-d817-4689-8985-f3a55d2274fc} event:/showrooms/showroom
{2cf5323a-2b34-4e01-ab6c-d0d6183d4ba7} event:/surfaces/extraturf
{62b4885a-92af-4af5-9f6d-2a467ffa2e3f} event:/surfaces/grass
{28e7a4ab-0e1c-4664-a7d8-b5fd89b024a0} event:/surfaces/gravel
{599532a9-5dac-40b8-8458-b0d16f89699a} event:/surfaces/kerb
{25b9a4aa-b8f7-4c53-ae28-0b98d81f732e} event:/surfaces/old
{7aa66622-f8c0-45b0-9650-89f6fc14cab1} event:/surfaces/sand
{c9bdf030-dda2-4d7c-9787-3dc4a166160c} event:/surfaces/tyre_rolling
{bbd4d209-45f4-4137-8e08-4ae3ecf32198} event:/turbo
{0b4ca2e6-b769-4ae6-ab48-72ba9aa1de84} bus:/
{9e2b6406-bcd0-4f61-92a5-b3e5d68d4b97} bus:/grp_backfire_ext
{477be05a-5cbd-468a-b1d8-637af58bba28} bus:/grp_backfire_int
{b3c3876b-83aa-45d3-b43a-125adcb9a753} bus:/grp_bodywork
{f915798f-0669-4379-b31a-6ec19e8af0ea} bus:/grp_collisions
{559b9037-dd6c-4120-9373-477d07717f9e} bus:/grp_door
{5206e42b-ae8f-49f6-b059-d613b2947b49} bus:/grp_engine_ext
{db9dca15-49f5-4c00-93ca-e76ccaf1160e} bus:/grp_engine_int
{c9a0a35d-dcc0-4002-ae01-5487466de9f8} bus:/grp_gear_ext
{f09ce222-1e68-42a9-9e16-fcb45004fcb3} bus:/grp_gear_int
{c89669bc-901a-4b52-91b7-46a85014ee0d} bus:/grp_horn
{37b936f8-165c-484d-a2f5-d06ae99a0822} bus:/grp_limiter
{81c0ee3a-2fd8-4e25-b775-eb7845ca644f} bus:/grp_skid_ext
{37bf169d-f171-4af4-a924-d65a1f998264} bus:/grp_skid_int
{ce5395d1-28c9-4dcc-90bd-051528b365d3} bus:/grp_surfaces
{9d0c46e7-d738-480e-8d5f-b5fb315a701a} bus:/grp_tractioncontrol_ext
{dcf6df4b-a019-4819-97e4-d1b3ed67e4b1} bus:/grp_tractioncontrol_int
{dba03e3d-9c12-43da-a5b9-9c79b7673c7f} bus:/grp_transmission
{35927822-c7cf-43ab-b6a2-447a4386450e} bus:/grp_turbo
{b7b6c398-22ee-465a-a6df-42861188e195} bus:/grp_wheel_closed
{208daf59-324a-4a13-994e-d284dac196ce} bus:/grp_wheel_open
{bec567db-3040-4ca9-82f7-75f072ab68c8} bus:/grp_wind_closed
{1c1f5d35-07d5-4d6f-b916-cd0eb4adfd60} bus:/grp_wind_open
{7efb4cd0-15d0-4dd5-8b62-883900299a95} bus:/Reverb
{4f6969ac-b7e1-45e5-84f1-31bc6f135357} bank:/showroom
{47dcf37a-6a8d-4ef6-9f82-2e0398fa69f9} bank:/common
{a63dbf4b-473d-476b-88e3-aa6167a62f69} bank:/2tight_f812
